trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.02, 'e': 1.0}",30,0,-183.68884643727108,"{0: 17, 1: 0, 2: 10, 3: 1, 4: 2}",0
2,False,"{'a': 0.02, 'e': 0.9801986733067553}",20,0,-212.80659660348692,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
3,False,"{'a': 0.02, 'e': 0.9607894391523232}",25,0,-23.371859714470297,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.02, 'e': 0.9417645335842487}",20,0,-111.73611729309165,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.02, 'e': 0.9231163463866358}",20,0,-112.32697874155868,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.02, 'e': 0.9048374180359595}",30,8,-135.7077940506177,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 2}",1
7,False,"{'a': 0.02, 'e': 0.8869204367171575}",20,0,-70.49549011699519,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.02, 'e': 0.8693582353988059}",30,0,-89.82932795332415,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",1
9,False,"{'a': 0.02, 'e': 0.8521437889662113}",35,22,-2.3874247435253757,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.02, 'e': 0.835270211411272}",20,0,-118.36782816746747,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.02, 'e': 0.8187307530779818}",25,0,-75.01000181148987,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
12,False,"{'a': 0.02, 'e': 0.8025187979624785}",20,0,-74.8784243157112,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.02, 'e': 0.7866278610665535}",20,0,-84.31244548864557,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.02, 'e': 0.7710515858035663}",20,0,-52.1817045753829,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.02, 'e': 0.7557837414557255}",25,0,-48.85311257375246,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.02, 'e': 0.7408182206817179}",25,9,-12.690072273432442,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.02, 'e': 0.7261490370736909}",20,0,-98.79355848456193,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.02, 'e': 0.7117703227626097}",25,0,-48.94805472189086,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.02, 'e': 0.697676326071031}",35,2,-102.31799832019756,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 3}",1
20,False,"{'a': 0.02, 'e': 0.6838614092123558}",20,0,-73.74280900285949,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.02, 'e': 0.6703200460356393}",20,10,-1.4267394900972556,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.02, 'e': 0.6570468198150567}",20,0,-118.44922298818989,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
23,False,"{'a': 0.02, 'e': 0.6440364210831414}",20,0,-49.677421499939236,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
24,False,"{'a': 0.02, 'e': 0.631283645506926}",20,9,18.869499821679803,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.02, 'e': 0.6187833918061408}",25,0,-98.87182452028084,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.02, 'e': 0.6065306597126334}",25,2,-100.66504650931734,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 3}",1
27,False,"{'a': 0.02, 'e': 0.5945205479701944}",20,0,-73.89681867361848,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.02, 'e': 0.5827482523739896}",30,0,2.4355147881996446,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.02, 'e': 0.5712090638488149}",20,0,0.4599195412633662,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
30,False,"{'a': 0.02, 'e': 0.559898366565402}",25,0,-181.6496919598677,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
