trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-155.24482071955407,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.22948643639117,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.61132275330583,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-181.4414861648768,"{0: 19, 1: 5, 2: 8, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.25717637115516,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.78589024341767,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,15,-86.50465742247793,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-84.79483668660708,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.98624897241466,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.59807121377536,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.25811651123891,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.64380979435924,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.12257946731842,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.7489716437337,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.6592314493908,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.79464884928234,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.50688052144105,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.14632441151653,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.2681436506111,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.19523376352942,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-204.57053000669205,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,16,-37.718995841815236,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-261.8542042042902,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.5139052388127,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.68631697723788,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-207.74292567902685,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,6,-135.10324456728327,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.48265399765845,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.74348334597045,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,8,-97.5071528387212,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
